OBJECTID,Year,Months_Reported,Population,Violent_Crime_Total,Violent_Crime_Rate_Per_1000_Res,Murder_and_Nonnegligent_Manslau,Rape,Robbery,Aggravated_assault,Property_Crime_Total,Property_Crime_Rate_per_1000_Re,Burglary,Larceny_Theft,Motor_Vehicle_Theft
1,1992,12,107753,1077,10,18,130,453,476,9551,88.6,3154,5795,602
2,1993,12,106971,1159,10.8,19,104,459,577,9221,86.2,2606,5825,790
3,1994,12,107701,1241,11.5,19,95,518,609,9235,85.7,2500,5986,749
4,1995,12,106024,980,9.2,26,86,389,479,9033,85.2,2406,5920,707
5,1996,12,106718,1022,9.6,22,93,512,395,9800,91.8,2880,6185,735
6,1997,12,107138,881,8.2,17,71,373,420,9111,85,2295,6104,712
7,1998,12,102996,784,7.6,14,73,359,338,8384,81.4,2066,5562,756
8,1999,12,100154,784,7.8,17,76,357,334,8036,80.2,2258,5060,718
9,2000,12,107789,797,7.4,12,68,388,329,7699,71.4,1930,5049,720
10,2001,12,108396,888,8.2,21,78,487,302,8234,76,1932,5603,699
11,2002,12,109182,820,7.5,20,93,354,353,7383,67.6,1826,4983,574
12,2003,12,107191,768,7.2,16,78,324,350,6853,63.9,1716,4596,541
13,2004,12,106254,762,7.2,10,71,344,337,6569,61.8,1555,4475,539
14,2005,12,106076,794,7.5,12,69,348,365,6612,62.3,1678,4366,568
15,2006,12,105959,805,7.6,14,67,430,294,7411,69.9,1930,4895,586
16,2007,12,104437,805,7.7,7,67,448,283,6872,65.8,1945,4438,489
17,2008,12,103561,819,7.9,15,73,409,322,6965,67.3,2284,4179,502
18,2009,12,103326,769,7.4,14,56,346,353,6113,59.2,2086,3702,325
19,2010,12,101168,746,7.4,6,52,339,349,5929,58.6,2216,3411,302
20,2011,12,101685,744,7.3,9,60,406,269,6096,59.9,2335,3437,324
21,2012,12,101398,622,6.1,18,55,316,233,4827,47.6,1744,2798,285
22,2013,12,100711,664,6.6,9,93,363,199,4889,48.5,1468,3095,326
23,2014,12,100853,691,6.9,17,98,341,235,4744,47,1222,3190,332
24,2015,12,101240,720,7.1,17,88,350,265,5410,53.4,1430,3612,368
25,2016,12,101621,1037,10.2,14,70,388,565,5166,50.8,1241,3359,566
26,2017,12,101857,1064,10.4,16,93,345,610,5099,50.1,1192,3438,469
